"completion_date","total_work_orders_completed","total_units_produced","total_units_planned","effective_yield_rate"
"2025-01-01","170","130211","189267","0.68797518849033376130"
"2025-01-02","217","145065","221897","0.65374926204500286169"
"2025-01-03","199","148566","219246","0.67762239675980405572"
"2025-01-04","219","164981","238752","0.69101410668811151320"
"2025-01-05","209","156429","231170","0.67668382575593718908"
"2025-01-06","212","137572","208078","0.66115591268658868309"
"2025-01-07","207","154873","232428","0.66632677646410931557"
"2025-01-08","215","141379","211824","0.66743617342699599668"
"2025-01-09","215","148358","222341","0.66725435254856279319"
"2025-01-10","217","144785","214989","0.67345306038913618836"
"2025-01-11","220","161346","235391","0.68543827079200139343"
"2025-01-12","215","154732","226783","0.68229100064819673432"
"2025-01-13","215","152041","233931","0.64993951207834788891"
"2025-01-14","215","151353","226359","0.66864140590831378474"
"2025-01-15","218","148127","222809","0.66481605321149504733"
"2025-01-16","215","150539","226079","0.66586901039017334649"
"2025-01-17","204","139988","208163","0.67249222964695935397"
"2025-01-18","207","142946","220487","0.64831940205091456639"
"2025-01-19","210","141949","212569","0.66777846252275731645"
"2025-01-20","215","145771","212133","0.68716795595216208699"
"2025-01-21","219","154593","225127","0.68669240028961430659"
"2025-01-22","221","148094","226528","0.65375582709422234779"
"2025-01-23","198","134621","204989","0.65672304367551429589"
"2025-01-24","232","169360","251275","0.67400258680728285743"
"2025-01-25","198","137943","206948","0.66655874905773431007"
"2025-01-26","232","165588","248770","0.66562688427061140813"
"2025-01-27","215","151664","221830","0.68369472118288779696"
"2025-01-28","229","160725","238506","0.67388241805237604085"
"2025-01-29","212","147443","223304","0.66027926055959588722"
"2025-01-30","222","147256","218971","0.67249087778746957360"
"2025-01-31","221","164086","242920","0.67547340688292441956"
"2025-02-01","224","151449","227305","0.66628098809968984404"
"2025-02-02","209","143671","215706","0.66605008669207161600"
"2025-02-03","215","140639","213427","0.65895598963580053133"
"2025-02-04","207","146076","219273","0.66618325101585694545"
"2025-02-05","224","151942","225902","0.67260139352462572266"
"2025-02-06","226","169873","245342","0.69239266004190069373"
"2025-02-07","222","146720","217760","0.67376928728875826598"
"2025-02-08","202","134944","202312","0.66700937166356914073"
"2025-02-09","211","156992","226932","0.69180194948266441048"
"2025-02-10","212","142949","214240","0.66723767737117251680"
"2025-02-11","234","154545","231708","0.66698171836967217360"
"2025-02-12","208","138948","204614","0.67907376816835602647"
"2025-02-13","217","145558","222016","0.65561941481695012972"
"2025-02-14","218","153191","226650","0.67589234502536951246"
"2025-02-15","207","153599","222454","0.69047533422640186286"
"2025-02-16","215","148912","221414","0.67255006458489526408"
"2025-02-17","225","152334","233826","0.65148443714556978266"
"2025-02-18","205","150608","223328","0.67438028370826766012"
"2025-02-19","209","147575","220805","0.66834990149679581531"
"2025-02-20","225","165075","241494","0.68355735546224750925"
"2025-02-21","218","169092","249673","0.67725384803322746152"
"2025-02-22","220","157185","233681","0.67264775484528053201"
"2025-02-23","211","146029","219546","0.66514079054047898846"
"2025-02-24","218","156956","231049","0.67931910547113382875"
"2025-02-25","218","155972","230214","0.67750875272572476044"
"2025-02-26","223","160496","243342","0.65954911194943741730"
"2025-02-27","205","142316","210989","0.67451857679784254155"
"2025-02-28","216","150891","223561","0.67494330406466244112"
"2025-03-01","210","157959","233913","0.67528953072296110092"
"2025-03-02","216","164155","242584","0.67669343402697622267"
"2025-03-03","213","152969","229153","0.66754090062098248768"
"2025-03-04","230","163882","238694","0.68657779416323828835"
"2025-03-05","214","151698","220361","0.68840675074082982016"
"2025-03-06","215","149912","221813","0.67584857515114082583"
"2025-03-07","219","164226","245738","0.66829712946308670210"
"2025-03-08","213","143517","212506","0.67535504879862215655"
"2025-03-09","218","148014","229524","0.64487373869399278507"
"2025-03-10","219","153388","227594","0.67395449792173783140"
"2025-03-11","209","154148","226321","0.68110338854989152575"
"2025-03-12","207","148933","211266","0.70495489099050486117"
"2025-03-13","212","146517","220236","0.66527270745927096388"
"2025-03-14","219","151142","224444","0.67340628397283955018"
"2025-03-15","223","160314","237497","0.67501484229274475046"
"2025-03-16","204","135244","205351","0.65859917896674474436"
"2025-03-17","216","145919","220832","0.66076927256919287060"
"2025-03-18","208","150260","220242","0.68224952552192588153"
"2025-03-19","213","149940","227894","0.65793746215345730910"
"2025-03-20","215","149551","222556","0.67197020075846079189"
"2025-03-21","236","163573","243389","0.67206406205703626705"
"2025-03-22","189","139074","202665","0.68622603804307601214"
"2025-03-23","204","146234","217883","0.67115837398971007376"
"2025-03-24","225","163407","245705","0.66505362121242953949"
"2025-03-25","208","143293","214908","0.66676438289872875835"
"2025-03-26","223","165726","250182","0.66242175696093244118"
"2025-03-27","219","163766","244504","0.66978863331479239603"
"2025-03-28","210","147761","218935","0.67490807773996848380"
"2025-03-29","212","155999","222355","0.70157630815587686357"
"2025-03-30","232","167457","240953","0.69497785875253680178"
"2025-03-31","203","131143","197121","0.66529187656312620167"
"2025-04-01","210","146846","224249","0.65483458120214582897"
"2025-04-02","218","147797","221406","0.66753836842723322765"
"2025-04-03","224","162895","240299","0.67788463539174112252"
"2025-04-04","218","144200","214284","0.67293871684306807788"
"2025-04-05","201","150272","220935","0.68016384909588793084"
"2025-04-06","228","155437","227313","0.68380163035110178476"
"2025-04-07","222","150634","227629","0.66175223719297629037"
"2025-04-08","217","152025","230008","0.66095527112100448680"
"2025-04-09","219","157319","237811","0.66152953395763862900"
"2025-04-10","221","142380","213758","0.66608033383545878985"
"2025-04-11","216","141888","209892","0.67600480246984163284"
"2025-04-12","213","157776","239504","0.65876144030997394616"
"2025-04-13","211","151248","224830","0.67272161188453498199"
"2025-04-14","227","159296","241995","0.65826153432922167813"
"2025-04-15","212","149180","220622","0.67617916617563071679"
"2025-04-16","199","138841","207776","0.66822443400585245649"
"2025-04-17","225","156237","231581","0.67465379284138163321"
"2025-04-18","218","149934","225271","0.66557168920988498298"
"2025-04-19","202","145922","214921","0.67895645376673289255"
"2025-04-20","224","146990","231120","0.63598996192454136379"
"2025-04-21","222","164947","239683","0.68818814851282735947"
"2025-04-22","207","144873","217365","0.66649644606997446691"
"2025-04-23","215","155340","225526","0.68878976259943421158"
"2025-04-24","223","158713","235199","0.67480303912856772350"
"2025-04-25","195","136397","199697","0.68301977495906298042"
"2025-04-26","222","150776","218396","0.69037894466931628784"
"2025-04-27","205","143526","212696","0.67479407229096927070"
"2025-04-28","218","157041","240070","0.65414670721039696755"
"2025-04-29","211","147622","219064","0.67387612752437643794"
"2025-04-30","215","152802","226066","0.67591765236700786496"
"2025-05-01","213","146017","222386","0.65659259126024120223"
"2025-05-02","223","153147","232101","0.65982912611320071865"
"2025-05-03","210","157701","228585","0.68990091213334208281"
"2025-05-04","211","147031","218581","0.67266139325924943156"
"2025-05-05","204","147873","219182","0.67465850297925924574"
"2025-05-06","224","158245","235001","0.67338011327611371867"
"2025-05-07","227","158136","232647","0.67972507704805993630"
"2025-05-08","220","152894","229266","0.66688475395392251795"
"2025-05-09","205","151233","221022","0.68424410239704644786"
"2025-05-10","202","140742","209617","0.67142455048970264816"
"2025-05-11","217","142183","209785","0.67775579760230712396"
"2025-05-12","214","142457","215581","0.66080498745251204884"
"2025-05-13","226","152895","225674","0.67750383296259205757"
"2025-05-14","216","148363","221636","0.66939937555270804382"
"2025-05-15","208","159030","233686","0.68052857252894910264"
"2025-05-16","210","144014","218743","0.65837078215074310949"
"2025-05-17","226","159126","236766","0.67208129545627328248"
"2025-05-18","221","156107","231398","0.67462553695364696324"
"2025-05-19","204","141503","211107","0.67029042144504919306"
"2025-05-20","220","157201","228954","0.68660516959738637456"
"2025-05-21","205","148545","220687","0.67310262951601136451"
"2025-05-22","224","158721","236936","0.66988975925988452578"
"2025-05-23","208","158284","231788","0.68288263413118884498"
"2025-05-24","216","148972","220256","0.67635841929391253814"
"2025-05-25","229","153808","226770","0.67825550116858490982"
"2025-05-26","227","165339","248847","0.66442030645336290974"
"2025-05-27","212","158321","236882","0.66835386394913923388"
"2025-05-28","211","151692","233668","0.64917746546382046322"
"2025-05-29","212","147525","214205","0.68870941387922784249"
"2025-05-30","215","150748","222918","0.67624866542854323114"
"2025-05-31","217","143827","220181","0.65322166762799696613"
"2025-06-01","224","162933","238179","0.68407794138022243775"
"2025-06-02","220","151694","227346","0.66723848231330219137"
"2025-06-03","212","145739","222600","0.65471248876909254268"
"2025-06-04","207","150222","229131","0.65561621954253243778"
"2025-06-05","214","150732","222903","0.67622239269996366132"
"2025-06-06","230","155633","236871","0.65703695260289355810"
"2025-06-07","211","142819","215128","0.66387917890744115131"
"2025-06-08","220","156684","229410","0.68298679220609389303"
"2025-06-09","214","161759","232725","0.69506499086905145558"
"2025-06-10","230","162015","243571","0.66516539325289135406"
"2025-06-11","207","142506","213302","0.66809500145333845909"
"2025-06-12","216","157764","235312","0.67044604610049636228"
"2025-06-13","219","149819","220255","0.68020703275748564164"
"2025-06-14","206","144627","215979","0.66963454780325865015"
"2025-06-15","221","150293","230287","0.65263345303903390118"
"2025-06-16","228","159301","231626","0.68775094333105955290"
"2025-06-17","227","160958","238914","0.67370685686062767356"
"2025-06-18","215","147796","220291","0.67091256565179694132"
"2025-06-19","213","144129","215572","0.66858868498691852374"
"2025-06-20","210","144604","213935","0.67592493046953513918"
"2025-06-21","217","161981","238211","0.67998958906179815374"
"2025-06-22","226","147866","220911","0.66934647889874202733"
"2025-06-23","204","139810","214331","0.65230881207104898498"
"2025-06-24","211","151606","226737","0.66864252415794510821"
"2025-06-25","215","142620","217140","0.65681127383255042830"
"2025-06-26","231","164516","238094","0.69097079304812385024"
"2025-06-27","206","146563","218431","0.67098076738191923308"
"2025-06-28","213","144234","219695","0.65651926534513757710"
"2025-06-29","213","150183","226594","0.66278453974950793048"
"2025-06-30","214","143127","211711","0.67604895352626930108"
"2025-07-01","211","146026","225098","0.64872189002123519534"
"2025-07-02","212","149848","225772","0.66371383519656999096"
"2025-07-03","219","152026","222215","0.68413923452512206647"
"2025-07-04","221","157746","233436","0.67575695265511746260"
"2025-07-05","215","141618","214574","0.65999608526662130547"
"2025-07-06","205","146671","222706","0.65858575880308568247"
"2025-07-07","222","166622","247496","0.67323108252254581892"
"2025-07-08","224","158760","237351","0.66888279383697561839"
"2025-07-09","213","153464","224245","0.68435862561038150237"
"2025-07-10","214","152639","224584","0.67965215687671428063"
"2025-07-11","222","149436","225228","0.66348766583195695029"
"2025-07-12","212","146160","218002","0.67045256465537013422"
"2025-07-13","213","149895","222039","0.67508410684609460500"
"2025-07-14","212","155845","230882","0.67499848407411578209"
"2025-07-15","219","157128","229729","0.68397111379059674660"
"2025-07-16","218","157937","238296","0.66277654681572498070"
"2025-07-17","216","159406","234135","0.68082943600914002605"
"2025-07-18","217","150444","234750","0.64086900958466453674"
"2025-07-19","222","165033","243487","0.67778977933113472177"
"2025-07-20","220","160381","239299","0.67021174346737763217"
"2025-07-21","227","163721","236884","0.69114418871684031003"
"2025-07-22","191","136337","208998","0.65233638599412434569"
"2025-07-23","209","147642","220214","0.67044783710390801675"
"2025-07-24","213","144157","213095","0.67649170557732466740"
"2025-07-25","218","152063","222483","0.68348143453657133354"
"2025-07-26","214","141900","213081","0.66594393681276134428"
"2025-07-27","217","147199","221076","0.66582985036819917133"
"2025-07-28","209","145912","216823","0.67295443749048763277"
"2025-07-29","223","153669","230175","0.66761811665037471489"
"2025-07-30","217","141123","214788","0.65703391250907871948"
"2025-07-31","212","152208","222693","0.68348803060715873422"
"2025-08-01","214","147745","222368","0.66441664268240034537"
"2025-08-02","214","138978","210593","0.65993646512467176022"
"2025-08-03","224","174909","261365","0.66921355192929428194"
"2025-08-04","207","150161","220295","0.68163598810685671486"
"2025-08-05","224","153562","228535","0.67194084057146607741"
"2025-08-06","220","153884","231506","0.66470847407842561316"
"2025-08-07","219","156176","234871","0.66494373507159249120"
"2025-08-08","211","148105","226619","0.65354184777092829816"
"2025-08-09","217","149460","225521","0.66273207373149285432"
"2025-08-10","214","157527","234669","0.67127315495442516907"
"2025-08-11","218","172847","250988","0.68866639042504024097"
"2025-08-12","221","155399","228018","0.68152075713320878176"
"2025-08-13","219","154639","228919","0.67551841481047881565"
"2025-08-14","221","159609","235092","0.67892144351998366597"
"2025-08-15","199","139092","207775","0.66943568764288292624"
"2025-08-16","228","162927","238845","0.68214532437354769830"
"2025-08-17","215","145714","216103","0.67428032003257705816"
"2025-08-18","213","152580","228706","0.66714471854695547996"
"2025-08-19","219","169030","250959","0.67353631469682298702"
"2025-08-20","208","149780","224096","0.66837426817078394974"
"2025-08-21","216","149573","219827","0.68041232423678620006"
"2025-08-22","218","156561","232251","0.67410258728702998050"
"2025-08-23","207","155373","238606","0.65116971073652800013"
"2025-08-24","212","145042","219703","0.66017305180175054505"
"2025-08-25","212","157313","231717","0.67890141854071992991"
"2025-08-26","221","169237","244786","0.69136715335027329994"
"2025-08-27","208","148451","221367","0.67061034390853198535"
"2025-08-28","222","157763","234738","0.67208121394916886060"
"2025-08-29","210","148215","220551","0.67202143721860250010"
"2025-08-30","211","143609","214438","0.66969940029285854186"
"2025-08-31","229","150989","231599","0.65194150233809299695"
"2025-09-01","218","157675","227874","0.69193940510984140358"
"2025-09-02","213","153529","233629","0.65714872725560611054"
"2025-09-03","226","161143","249385","0.64616155743128095114"
"2025-09-04","208","153876","226763","0.67857631095019910656"
"2025-09-05","207","151210","223520","0.67649427344309234073"
"2025-09-06","222","155736","238977","0.65167777652242684442"
"2025-09-07","226","155489","233419","0.66613686118096641662"
"2025-09-08","213","163434","242383","0.67427996187851458229"
"2025-09-09","211","145011","221628","0.65429909578212139260"
"2025-09-10","218","153175","226570","0.67606037869091230083"
"2025-09-11","211","149992","223910","0.66987628958063507659"
"2025-09-12","215","154181","233143","0.66131515850786856136"
"2025-09-13","214","152212","222929","0.68278241054326713886"
"2025-09-14","212","152264","222376","0.68471417778897003274"
"2025-09-15","209","161982","230842","0.70170073036969009106"
"2025-09-16","206","150033","222184","0.67526464551902927303"
"2025-09-17","224","159351","237625","0.67059863229879011047"
"2025-09-18","229","165126","247497","0.66718384465266245651"
"2025-09-19","207","150707","216829","0.69505001637234871719"
"2025-09-20","210","158489","231467","0.68471531579015583215"
"2025-09-21","210","143530","210108","0.68312486911493136863"
"2025-09-22","206","139542","209620","0.66569029672741150654"
"2025-09-23","230","168593","254178","0.66328714522893405409"
"2025-09-24","216","150693","227957","0.66105888391231679659"
"2025-09-25","212","148539","218715","0.67914409162608874563"
"2025-09-26","221","147679","220591","0.66946974264589217148"
"2025-09-27","224","163008","240689","0.67725571172758206648"
"2025-09-28","212","149055","218431","0.68238940443435226685"
"2025-09-29","224","153845","225075","0.68352771298456070199"
"2025-09-30","206","138356","206893","0.66873214656851609286"
"2025-10-01","206","149301","226593","0.65889502323549271160"
"2025-10-02","213","146102","220649","0.66214666733137245127"
"2025-10-03","223","152352","218572","0.69703347180791684205"
"2025-10-04","207","145399","218578","0.66520418340363623054"
"2025-10-05","210","149926","221672","0.67634162185571474972"
"2025-10-06","214","154039","232138","0.66356649923752250816"
"2025-10-07","225","153178","231317","0.66219949247137045699"
"2025-10-08","217","154630","226916","0.68144159072079536040"
"2025-10-09","227","155994","231810","0.67293904490746732238"
"2025-10-10","233","167703","246967","0.67905023748112095948"
"2025-10-11","205","139929","207632","0.67392791091931879479"
"2025-10-12","210","141556","207410","0.68249361168699676968"
"2025-10-13","219","156707","233395","0.67142398080507294501"
"2025-10-14","215","149238","225622","0.66145145420216113677"
"2025-10-15","218","158060","230482","0.68578023446516430784"
"2025-10-16","213","153516","225548","0.68063560749818220512"
"2025-10-17","214","139123","210944","0.65952575091019417476"
"2025-10-18","209","153720","228553","0.67257922670015269981"
"2025-10-19","217","143442","218672","0.65596875685958879052"
"2025-10-20","218","149994","224445","0.66828844483058210252"
"2025-10-21","221","162245","238235","0.68102923583856276366"
"2025-10-22","229","169947","256849","0.66166113163765480886"
"2025-10-23","211","146246","228740","0.63935472588965637842"
"2025-10-24","218","152788","231547","0.65985739396321265229"
"2025-10-25","207","140943","207791","0.67829213007300604935"
"2025-10-26","208","139188","206661","0.67350878975713850218"
"2025-10-27","232","169307","249272","0.67920584742770949003"
"2025-10-28","214","148460","226120","0.65655404210153900584"
"2025-10-29","210","137230","204822","0.66999638710685375594"
"2025-10-30","233","168829","246292","0.68548308511847725464"
"2025-10-31","218","156225","232896","0.67079297197032151690"
"2025-11-01","204","143505","219157","0.65480454651231765355"
"2025-11-02","211","155522","231577","0.67157792008705527751"
"2025-11-03","218","150492","224226","0.67116213106419416125"
"2025-11-04","215","142694","214773","0.66439450023978805530"
"2025-11-05","210","141333","213619","0.66161249701571489427"
"2025-11-06","213","153445","228007","0.67298372418390663445"
"2025-11-07","211","150638","224600","0.67069456812110418522"
"2025-11-08","208","151628","230693","0.65727178544645914700"
"2025-11-09","220","154877","228553","0.67764150984673139272"
"2025-11-10","225","152922","232212","0.65854477804764611648"
"2025-11-11","207","149182","224267","0.66519817895633329915"
"2025-11-12","222","160778","240505","0.66850169435146878443"
"2025-11-13","230","175675","259583","0.67675849342984710093"
"2025-11-14","213","145303","217013","0.66955896651352683941"
"2025-11-15","218","144434","221438","0.65225480721466053704"
"2025-11-16","216","158885","229480","0.69236970542095171693"
"2025-11-17","213","147027","218708","0.67225250105163048448"
"2025-11-18","227","149888","222967","0.67224297766037126570"
"2025-11-19","206","140623","211389","0.66523329028473572419"
"2025-11-20","229","154376","233394","0.66143945431330711158"
"2025-11-21","205","141971","210103","0.67572095591210025559"
"2025-11-22","221","160370","238639","0.67201924245408336441"
"2025-11-23","218","159690","241819","0.66036994611672366522"
"2025-11-24","214","159002","235419","0.67540003143331676713"
"2025-11-25","213","149560","227151","0.65841664795664557937"
"2025-11-26","215","161890","235561","0.68725298330368779212"
"2025-11-27","220","161005","237751","0.67720009589865026856"
"2025-11-28","219","146415","226023","0.64778805696765373435"
"2025-11-29","209","153126","226926","0.67478385024192908702"
"2025-11-30","212","140272","209975","0.66804143350398857007"
"2025-12-01","221","149489","224227","0.66668599232028257079"
"2025-12-02","218","150980","224698","0.67192409367239583797"
"2025-12-03","227","174445","257938","0.67630593398413572254"
"2025-12-04","209","145741","220672","0.66044174158932714617"
"2025-12-05","220","146957","222241","0.66125062432224477032"
"2025-12-06","207","131735","201300","0.65442126179831097864"
"2025-12-07","225","151277","232959","0.64937177786649152855"
"2025-12-08","214","154574","227247","0.68020259893419935137"
"2025-12-09","196","138836","207359","0.66954412395893112910"
"2025-12-10","220","156695","226629","0.69141636771992992953"
"2025-12-11","224","158953","234352","0.67826602717279989076"
"2025-12-12","217","148097","221509","0.66858231493979928581"
"2025-12-13","199","139720","212615","0.65715024810102767914"
"2025-12-14","223","164083","240534","0.68216135764590452909"
"2025-12-15","226","151818","233261","0.65085033503243148233"
"2025-12-16","209","140650","209373","0.67176761091449231754"
"2025-12-17","209","159284","233228","0.68295401924297254189"
"2025-12-18","219","164687","239058","0.68889976491060746764"
"2025-12-19","211","160918","235918","0.68209293059452860740"
"2025-12-20","218","156757","231964","0.67578158679795140625"
"2025-12-21","226","157124","236115","0.66545539249941765665"
"2025-12-22","205","140775","211203","0.66653882757347196773"
"2025-12-23","228","162900","242681","0.67125156069078337406"
"2025-12-24","231","167472","244001","0.68635784279572624702"
"2025-12-25","199","136916","203298","0.67347440702810652343"
"2025-12-26","207","155518","226941","0.68527943386166448548"
"2025-12-27","225","151403","231491","0.65403406611920117845"
"2025-12-28","215","140323","207062","0.67768591050023664410"
"2025-12-29","222","161770","237379","0.68148404029000037914"
"2025-12-30","204","153996","228930","0.67267723758354082034"
"2025-12-31","221","156029","236939","0.65851970338357129894"
"2026-01-01","119","79913","122006","0.65499237742406111175"
